year,month,sector,nom_ent,trab
1997,7,Construcción,Aguascalientes,8287
1997,7,Construcción,Baja California,20926
1997,7,Construcción,Baja California Sur,6822
1997,7,Construcción,Campeche,16205
1997,7,Construcción,Chiapas,10017
1997,7,Construcción,Chihuahua,24042
1997,7,Construcción,Ciudad de México,87578
1997,7,Construcción,Coahuila,29647
1997,7,Construcción,Colima,5446
1997,7,Construcción,Durango,7002
1997,7,Construcción,Guanajuato,21510
1997,7,Construcción,Guerrero,11543
1997,7,Construcción,Hidalgo,9861
1997,7,Construcción,Jalisco,42670
1997,7,Construcción,Mexico,34570
1997,7,Construcción,Michoacan,15976
1997,7,Construcción,Morelos,7065
1997,7,Construcción,Nayarit,5047
1997,7,Construcción,Nuevo Leon,59148
1997,7,Construcción,Oaxaca,10831
1997,7,Construcción,Puebla,14345
1997,7,Construcción,Queretaro,15610
1997,7,Construcción,Quintana Roo,10870
1997,7,Construcción,San Luis Potosi,11831
1997,7,Construcción,Sinaloa,18072
1997,7,Construcción,Sonora,20150
1997,7,Construcción,Tabasco,17372
1997,7,Construcción,Tamaulipas,26310
1997,7,Construcción,Tlaxcala,2428
1997,7,Construcción,Veracruz,33966
1997,7,Construcción,Yucatan,8245
1997,7,Construcción,Zacatecas,5446
1997,8,Construcción,Aguascalientes,8488
1997,8,Construcción,Baja California,22535
1997,8,Construcción,Baja California Sur,8016
1997,8,Construcción,Campeche,16832
1997,8,Construcción,Chiapas,10588
1997,8,Construcción,Chihuahua,24492
1997,8,Construcción,Ciudad de México,91878
1997,8,Construcción,Coahuila,32268
1997,8,Construcción,Colima,5936
1997,8,Construcción,Durango,7593
1997,8,Construcción,Guanajuato,23656
1997,8,Construcción,Guerrero,12939
1997,8,Construcción,Hidalgo,10486
1997,8,Construcción,Jalisco,46662
1997,8,Construcción,Mexico,37509
1997,8,Construcción,Michoacan,17853
1997,8,Construcción,Morelos,7579
1997,8,Construcción,Nayarit,5387
1997,8,Construcción,Nuevo Leon,60121
1997,8,Construcción,Oaxaca,10515
1997,8,Construcción,Puebla,15251
1997,8,Construcción,Queretaro,16817
1997,8,Construcción,Quintana Roo,12496
1997,8,Construcción,San Luis Potosi,12861
1997,8,Construcción,Sinaloa,18578
1997,8,Construcción,Sonora,22820
1997,8,Construcción,Tabasco,17290
1997,8,Construcción,Tamaulipas,26529
1997,8,Construcción,Tlaxcala,2569
1997,8,Construcción,Veracruz,36391
1997,8,Construcción,Yucatan,9588
1997,8,Construcción,Zacatecas,5834
1997,9,Construcción,Aguascalientes,8913
1997,9,Construcción,Baja California,23968
1997,9,Construcción,Baja California Sur,8588
1997,9,Construcción,Campeche,17227
1997,9,Construcción,Chiapas,11624
1997,9,Construcción,Chihuahua,25516
1997,9,Construcción,Ciudad de México,93022
1997,9,Construcción,Coahuila,34673
1997,9,Construcción,Colima,6006
1997,9,Construcción,Durango,8110
1997,9,Construcción,Guanajuato,26638
1997,9,Construcción,Guerrero,13233
1997,9,Construcción,Hidalgo,11599
1997,9,Construcción,Jalisco,50663
1997,9,Construcción,Mexico,40983
1997,9,Construcción,Michoacan,19000
1997,9,Construcción,Morelos,7927
1997,9,Construcción,Nayarit,5833
1997,9,Construcción,Nuevo Leon,62311
1997,9,Construcción,Oaxaca,11574
1997,9,Construcción,Puebla,16246
1997,9,Construcción,Queretaro,18560
1997,9,Construcción,Quintana Roo,14438
1997,9,Construcción,San Luis Potosi,13111
1997,9,Construcción,Sinaloa,20109
1997,9,Construcción,Sonora,24236
1997,9,Construcción,Tabasco,18239
1997,9,Construcción,Tamaulipas,27395
1997,9,Construcción,Tlaxcala,2678
1997,9,Construcción,Veracruz,37448
1997,9,Construcción,Yucatan,10934
1997,9,Construcción,Zacatecas,6293
1997,10,Construcción,Aguascalientes,9517
1997,10,Construcción,Baja California,26373
1997,10,Construcción,Baja California Sur,8657
1997,10,Construcción,Campeche,17631
1997,10,Construcción,Chiapas,12019
1997,10,Construcción,Chihuahua,26300
1997,10,Construcción,Ciudad de México,94500
1997,10,Construcción,Coahuila,35871
1997,10,Construcción,Colima,6563
1997,10,Construcción,Durango,8718
1997,10,Construcción,Guanajuato,28338
1997,10,Construcción,Guerrero,13819
1997,10,Construcción,Hidalgo,11532
1997,10,Construcción,Jalisco,52458
1997,10,Construcción,Mexico,43607
1997,10,Construcción,Michoacan,18716
1997,10,Construcción,Morelos,8153
1997,10,Construcción,Nayarit,6266
1997,10,Construcción,Nuevo Leon,64851
1997,10,Construcción,Oaxaca,12820
1997,10,Construcción,Puebla,16921
1997,10,Construcción,Queretaro,19383
1997,10,Construcción,Quintana Roo,16077
1997,10,Construcción,San Luis Potosi,12714
1997,10,Construcción,Sinaloa,21751
1997,10,Construcción,Sonora,25241
1997,10,Construcción,Tabasco,19454
1997,10,Construcción,Tamaulipas,29691
1997,10,Construcción,Tlaxcala,2754
1997,10,Construcción,Veracruz,41693
1997,10,Construcción,Yucatan,12198
1997,10,Construcción,Zacatecas,6539
1997,11,Construcción,Aguascalientes,9368
1997,11,Construcción,Baja California,26926
1997,11,Construcción,Baja California Sur,8950
1997,11,Construcción,Campeche,17304
1997,11,Construcción,Chiapas,12642
1997,11,Construcción,Chihuahua,26699
1997,11,Construcción,Ciudad de México,92568
1997,11,Construcción,Coahuila,35195
1997,11,Construcción,Colima,6647
1997,11,Construcción,Durango,8755
1997,11,Construcción,Guanajuato,29027
1997,11,Construcción,Guerrero,14971
1997,11,Construcción,Hidalgo,11565
1997,11,Construcción,Jalisco,51802
1997,11,Construcción,Mexico,44341
1997,11,Construcción,Michoacan,17992
1997,11,Construcción,Morelos,8543
1997,11,Construcción,Nayarit,6437
1997,11,Construcción,Nuevo Leon,64407
1997,11,Construcción,Oaxaca,13207
1997,11,Construcción,Puebla,17197
1997,11,Construcción,Queretaro,18889
1997,11,Construcción,Quintana Roo,14864
1997,11,Construcción,San Luis Potosi,13031
1997,11,Construcción,Sinaloa,21814
1997,11,Construcción,Sonora,25034
1997,11,Construcción,Tabasco,20004
1997,11,Construcción,Tamaulipas,29962
1997,11,Construcción,Tlaxcala,2601
1997,11,Construcción,Veracruz,43776
1997,11,Construcción,Yucatan,13186
1997,11,Construcción,Zacatecas,6919
1997,12,Construcción,Aguascalientes,8812
1997,12,Construcción,Baja California,25983
1997,12,Construcción,Baja California Sur,8556
1997,12,Construcción,Campeche,17289
1997,12,Construcción,Chiapas,11803
1997,12,Construcción,Chihuahua,25851
1997,12,Construcción,Ciudad de México,89159
1997,12,Construcción,Coahuila,33526
1997,12,Construcción,Colima,6138
1997,12,Construcción,Durango,8411
1997,12,Construcción,Guanajuato,27765
1997,12,Construcción,Guerrero,13196
1997,12,Construcción,Hidalgo,11007
1997,12,Construcción,Jalisco,49831
1997,12,Construcción,Mexico,43320
1997,12,Construcción,Michoacan,18390
1997,12,Construcción,Morelos,8493
1997,12,Construcción,Nayarit,5535
1997,12,Construcción,Nuevo Leon,63245
1997,12,Construcción,Oaxaca,11858
1997,12,Construcción,Puebla,16731
1997,12,Construcción,Queretaro,18176
1997,12,Construcción,Quintana Roo,13956
1997,12,Construcción,San Luis Potosi,12396
1997,12,Construcción,Sinaloa,21323
1997,12,Construcción,Sonora,23517
1997,12,Construcción,Tabasco,18170
1997,12,Construcción,Tamaulipas,27975
1997,12,Construcción,Tlaxcala,2464
1997,12,Construcción,Veracruz,39812
1997,12,Construcción,Yucatan,13399
1997,12,Construcción,Zacatecas,6584
1998,1,Construcción,Aguascalientes,8872
1998,1,Construcción,Baja California,27621
1998,1,Construcción,Baja California Sur,9354
1998,1,Construcción,Campeche,17794
1998,1,Construcción,Chiapas,11437
1998,1,Construcción,Chihuahua,27260
1998,1,Construcción,Ciudad de México,91603
1998,1,Construcción,Coahuila,34129
1998,1,Construcción,Colima,5832
1998,1,Construcción,Durango,8560
1998,1,Construcción,Guanajuato,29166
1998,1,Construcción,Guerrero,13544
1998,1,Construcción,Hidalgo,11263
1998,1,Construcción,Jalisco,51335
1998,1,Construcción,Mexico,44780
1998,1,Construcción,Michoacan,19590
1998,1,Construcción,Morelos,8720
1998,1,Construcción,Nayarit,5961
1998,1,Construcción,Nuevo Leon,65296
1998,1,Construcción,Oaxaca,12730
1998,1,Construcción,Puebla,17149
1998,1,Construcción,Queretaro,18784
1998,1,Construcción,Quintana Roo,14118
1998,1,Construcción,San Luis Potosi,12932
1998,1,Construcción,Sinaloa,21686
1998,1,Construcción,Sonora,25471
1998,1,Construcción,Tabasco,18712
1998,1,Construcción,Tamaulipas,29863
1998,1,Construcción,Tlaxcala,2557
1998,1,Construcción,Veracruz,39126
1998,1,Construcción,Yucatan,13889
1998,1,Construcción,Zacatecas,6811
1998,2,Construcción,Aguascalientes,9543
1998,2,Construcción,Baja California,26948
1998,2,Construcción,Baja California Sur,9567
1998,2,Construcción,Campeche,18255
1998,2,Construcción,Chiapas,11086
1998,2,Construcción,Chihuahua,26741
1998,2,Construcción,Ciudad de México,91728
1998,2,Construcción,Coahuila,34387
1998,2,Construcción,Colima,5851
1998,2,Construcción,Durango,9390
1998,2,Construcción,Guanajuato,29645
1998,2,Construcción,Guerrero,13514
1998,2,Construcción,Hidalgo,11729
1998,2,Construcción,Jalisco,51205
1998,2,Construcción,Mexico,45415
1998,2,Construcción,Michoacan,19434
1998,2,Construcción,Morelos,9012
1998,2,Construcción,Nayarit,6394
1998,2,Construcción,Nuevo Leon,65435
1998,2,Construcción,Oaxaca,13612
1998,2,Construcción,Puebla,17863
1998,2,Construcción,Queretaro,19244
1998,2,Construcción,Quintana Roo,15215
1998,2,Construcción,San Luis Potosi,13036
1998,2,Construcción,Sinaloa,22132
1998,2,Construcción,Sonora,25924
1998,2,Construcción,Tabasco,19116
1998,2,Construcción,Tamaulipas,30201
1998,2,Construcción,Tlaxcala,2460
1998,2,Construcción,Veracruz,39273
1998,2,Construcción,Yucatan,13807
1998,2,Construcción,Zacatecas,7031
1998,3,Construcción,Aguascalientes,10798
1998,3,Construcción,Baja California,27102
1998,3,Construcción,Baja California Sur,9401
1998,3,Construcción,Campeche,18884
1998,3,Construcción,Chiapas,10973
1998,3,Construcción,Chihuahua,26811
1998,3,Construcción,Ciudad de México,93894
1998,3,Construcción,Coahuila,34782
1998,3,Construcción,Colima,6054
1998,3,Construcción,Durango,9676
1998,3,Construcción,Guanajuato,31777
1998,3,Construcción,Guerrero,13817
1998,3,Construcción,Hidalgo,12280
1998,3,Construcción,Jalisco,52198
1998,3,Construcción,Mexico,46055
1998,3,Construcción,Michoacan,20144
1998,3,Construcción,Morelos,9247
1998,3,Construcción,Nayarit,6470
