año,mes,tipo,trab
2000,1,construcción,887692
2000,2,construcción,903353
2000,3,construcción,915086
2000,4,construcción,900063
2000,5,construcción,927872
2000,6,construcción,949296
2000,7,construcción,972948
2000,8,construcción,997228
2000,9,construcción,999191
2000,10,construcción,1003720
2000,11,construcción,995999
2000,12,construcción,894257
2001,1,construcción,914872
2001,2,construcción,920236
2001,3,construcción,921942
2001,4,construcción,919554
2001,5,construcción,931552
2001,6,construcción,944529
2001,7,construcción,957359
2001,8,construcción,965694
2001,9,construcción,950105
2001,10,construcción,965021
2001,11,construcción,957735
2001,12,construcción,868267
2002,1,construcción,891536
2002,2,construcción,906017
2002,3,construcción,877007
2002,4,construcción,917278
2002,5,construcción,928832
2002,6,construcción,932006
2002,7,construcción,959238
2002,8,construcción,961982
2002,9,construcción,953776
2002,10,construcción,959243
2002,11,construcción,949981
2002,12,construcción,878413
2003,1,construcción,904805
2003,2,construcción,916747
2003,3,construcción,925377
2003,4,construcción,927260
2003,5,construcción,935926
2003,6,construcción,955091
2003,7,construcción,970603
2003,8,construcción,967979
2003,9,construcción,972406
2003,10,construcción,990384
2003,11,construcción,977563
2003,12,construcción,902596
2004,1,construcción,930040
2004,2,construcción,935983
2004,3,construcción,956781
2004,4,construcción,960253
2004,5,construcción,967931
2004,6,construcción,979699
2004,7,construcción,984365
2004,8,construcción,990281
2004,9,construcción,995126
2004,10,construcción,996731
2004,11,construcción,1003114
2004,12,construcción,931163
2005,1,construcción,951980
2005,2,construcción,971518
2005,3,construcción,961910
2005,4,construcción,985319
2005,5,construcción,1007468
2005,6,construcción,1025386
2005,7,construcción,1026309
2005,8,construcción,1054421
2005,9,construcción,1061598
2005,10,construcción,1079868
2005,11,construcción,1096990
2005,12,construcción,1015934
2006,1,construcción,1051779
2006,2,construcción,1071479
2006,3,construcción,1092469
2006,4,construcción,1088801
2006,5,construcción,1113923
2006,6,construcción,1141016
2006,7,construcción,1159526
2006,8,construcción,1181560
2006,9,construcción,1186895
2006,10,construcción,1204708
2006,11,construcción,1202301
2006,12,construcción,1098599
2007,1,construcción,1133679
2007,2,construcción,1161293
2007,3,construcción,1171558
2007,4,construcción,1184591
2007,5,construcción,1202334
2007,6,construcción,1218937
2007,7,construcción,1230040
2007,8,construcción,1243719
2007,9,construcción,1240780
2007,10,construcción,1262857
2007,11,construcción,1253992
2007,12,construcción,1141474
2008,1,construcción,1185385
2008,2,construcción,1199708
2008,3,construcción,1189343
2008,4,construcción,1215606
2008,5,construcción,1222168
2008,6,construcción,1229529
2008,7,construcción,1243795
2008,8,construcción,1246650
2008,9,construcción,1240152
2008,10,construcción,1235521
2008,11,construcción,1207187
2008,12,construcción,1099436
2009,1,construcción,1101006
2009,2,construcción,1094172
2009,3,construcción,1101774
2009,4,construcción,1101299
2009,5,construcción,1099017
2009,6,construcción,1113386
2009,7,construcción,1120292
2009,8,construcción,1121300
2009,9,construcción,1109518
2009,10,construcción,1118586
2009,11,construcción,1120494
2009,12,construcción,1042576
2010,1,construcción,1062486
2010,2,construcción,1085310
2010,3,construcción,1101940
2010,4,construcción,1127763
2010,5,construcción,1140605
2010,6,construcción,1157809
2010,7,construcción,1156745
2010,8,construcción,1177606
2010,9,construcción,1189243
2010,10,construcción,1206863
2010,11,construcción,1211026
2010,12,construcción,1128106
2011,1,construcción,1143046
2011,2,construcción,1151671
2011,3,construcción,1169005
2011,4,construcción,1163367
2011,5,construcción,1183372
2011,6,construcción,1202333
2011,7,construcción,1205646
2011,8,construcción,1227939
2011,9,construcción,1244214
2011,10,construcción,1261638
2011,11,construcción,1257508
2011,12,construcción,1183722
2012,1,construcción,1193417
2012,2,construcción,1211093
2012,3,construcción,1229728
2012,4,construcción,1238694
2012,5,construcción,1257826
2012,6,construcción,1282454
2012,7,construcción,1303783
2012,8,construcción,1324147
2012,9,construcción,1336976
2012,10,construcción,1353154
2012,11,construcción,1330055
2012,12,construcción,1241453
2013,1,construcción,1250895
2013,2,construcción,1259186
2013,3,construcción,1243175
2013,4,construcción,1271130
2013,5,construcción,1271899
2013,6,construcción,1283276
2013,7,construcción,1296815
2013,8,construcción,1312335
2013,9,construcción,1320630
2013,10,construcción,1350070
2013,11,construcción,1351460
2013,12,construcción,1266891
2014,1,construcción,1278217
2014,2,construcción,1301927
2014,3,construcción,1316922
2014,4,construcción,1330511
2014,5,construcción,1355125
2014,6,construcción,1372940
2014,7,construcción,1402689
2014,8,construcción,1419870
2014,9,construcción,1445412
2014,10,construcción,1485904
2014,11,construcción,1490000
2014,12,construcción,1402760
2015,1,construcción,1426074
2015,2,construcción,1452944
2015,3,construcción,1462571
2015,4,construcción,1483828
2015,5,construcción,1486598
2015,6,construcción,1515974
2015,7,construcción,1536386
2015,8,construcción,1552802
2015,9,construcción,1553985
2015,10,construcción,1571104
2015,11,construcción,1560770
2015,12,construcción,1444598
2016,1,construcción,1471021
2016,2,construcción,1497441
2016,3,construcción,1490331
2016,4,construcción,1512027
2016,5,construcción,1525348
2016,6,construcción,1542461
2016,7,construcción,1551055
2016,8,construcción,1577186
2016,9,construcción,1582245
2016,10,construcción,1603802
2016,11,construcción,1601897
2016,12,construcción,1490951
2017,1,construcción,1520939
2017,2,construcción,1541263
2017,3,construcción,1556490
2017,4,construcción,1552017
2017,5,construcción,1576679
2017,6,construcción,1602077
2017,7,construcción,1620189
2017,8,construcción,1654358
2017,9,construcción,1655102
2017,10,construcción,1684587
